Barcelona,F. C. Barcelona
Burgos,Burgos CF
Las Palmas,U. D. Las Palmas
Ath. Bilbao,Athletic Club
Betis,Real Betis Balompié
Dptivo. Coruña,R. C. Deportivo de La Coruña
Espanyol,RCD Espanyol
Oviedo,Real Oviedo
Real Madrid,Real Madrid C. F.
Real Sociedad,Real Sociedad
Valencia,Valencia C. F.
Zaragoza,Real Zaragoza
Cádiz,Cádiz C. F.
Córdoba,Córdoba C. F.
Elche,Elche C. F.
Mallorca,R. C. D. Mallorca
Osasuna,C. A. Osasuna
Sant Andreu,UE Sant Andreu
Sevilla,Sevilla FC
Hércules,Hércules C. F.
Logroñés,EDF Logroño
Murcia,Real Murcia C. F.
Sabadell,CE Sabadell FC
Tenerife,C. D. Tenerife
Levante,Levante U. D.
Alavés,Deportivo Alavés
Rec. Huelva,R. C. Recreativo de Huelva
Terrassa,Terrassa Olímpica 2010
Calvo Sotelo,CD Puertollano
Jaén,Real Jaén CF
Getafe,Getafe C. F.
Ferrol,Racing Club de Ferrol
Algeciras,Algeciras CF
Real Madrid B,Real Madrid Club de Fútbol Castilla
Ath. Bilbao B,Bilbao Athletic
Albacete,Albacete Balompié
Figueres,UE Figueres
Éibar,S. D. Eibar
Palamós,Palamós CF
Mérida,A. D. Mérida
Badajoz,C. D. Badajoz
Lugo,C. D. Lugo
Leganés,CD Leganés
Extremadura,Extremadura UD
Numancia,CD Numancia
Málaga,Málaga C. F.
Ponferradina,SD Ponferradina
Huesca,SD Huesca
Girona,Girona FC
Real Unión,Real Unión Club
Cartagena,F. C. Cartagena
Alcorcón,AD Alcorcón
Guadalajara,CD Guadalajara
